round,name,score,score_sum,s2_round,s2_name,s2_score,s2_score_sum,s3_round,s3_name,s3_score,s3_score_sum,s3_correct_results,s3_correct_scores
30.0,jonnie,4.0,233.0,24.0,andy,6.0,179.0,21,josh,8,190,,
30.0,josh,6.0,175.0,24.0,david,4.0,182.0,21,sam,10,159,,
30.0,sam,9.0,238.0,24.0,ed,11.0,172.0,21,tom,8,171,,
31.0,andy,14.0,245.0,24.0,jack,11.0,201.0,22,andy,2,201,,
31.0,david,12.0,266.0,24.0,jake,6.0,194.0,22,david,2,163,,
31.0,jake,6.0,229.0,24.0,james,8.0,194.0,22,ed,4,201,,
31.0,james,7.0,283.0,24.0,jonnie,16.0,197.0,22,jack,4,188,,
31.0,jonnie,11.0,244.0,24.0,josh,6.0,178.0,22,jake,4,193,,
31.0,josh,7.0,182.0,24.0,sam,8.0,188.0,22,james,4,180,,
31.0,sam,12.0,250.0,25.0,andy,4.0,183.0,22,jonnie,4,205,,
32.0,andy,6.0,251.0,25.0,david,9.0,191.0,22,josh,4,194,,
32.0,david,4.0,270.0,25.0,ed,11.0,183.0,22,sam,6,165,,
32.0,jake,7.0,236.0,25.0,jack,6.0,207.0,22,tom,4,175,,
32.0,james,4.0,287.0,25.0,jake,7.0,201.0,23,andy,2,203,,
32.0,jonnie,12.0,256.0,25.0,james,6.0,200.0,23,david,6,169,,
32.0,josh,2.0,184.0,25.0,jonnie,11.0,208.0,23,ed,8,209,,
32.0,sam,4.0,254.0,25.0,josh,8.0,186.0,23,jack,11,199,,
33.0,andy,8.0,259.0,25.0,sam,9.0,197.0,23,jake,4,197,,
33.0,david,9.0,279.0,26.0,andy,6.0,189.0,23,james,4,184,,
33.0,jake,9.0,245.0,26.0,david,11.0,202.0,23,jonnie,8,213,,
33.0,james,5.0,292.0,26.0,ed,7.0,190.0,23,josh,8,202,,
33.0,jonnie,9.0,265.0,26.0,jack,8.0,215.0,23,sam,8,173,,
33.0,josh,9.0,193.0,26.0,jake,7.0,208.0,23,tom,6,181,,
33.0,sam,6.0,260.0,26.0,james,12.0,212.0,24,andy,2,205,,
34.0,andy,6.0,265.0,26.0,jonnie,11.0,219.0,24,david,2,171,,
34.0,david,6.0,285.0,26.0,josh,7.0,193.0,24,ed,2,211,,
34.0,jake,7.0,252.0,26.0,sam,9.0,206.0,24,jack,2,201,,
34.0,james,4.0,296.0,27.0,andy,11.0,200.0,24,jake,2,199,,
34.0,jonnie,9.0,274.0,27.0,david,9.0,211.0,24,james,9,193,,
