round,name,score,score_sum,,s2_round,s2_name,s2_score,s2_score_sum,,s3_round,s3_name,s3_score,s3_score_sum
50,jonnie,4,387,,39,james,8,343,,35,josh,8,304
50,josh,7,315,,39,jonnie,8,365,,35,sam,6,277
50,sam,4,385,,39,josh,8,297,,35,tom,2,229
51,andy,6,389,,39,sam,8,313,,36,andy,2,284
51,david,6,418,,40,andy,6,307,,36,david,7,261
51,jake,6,392,,40,david,11,318,,36,ed,9,305
51,james,8,412,,40,ed,13,299,,36,jack,6,308
51,jonnie,8,395,,40,jack,8,343,,36,jake,9,301
51,josh,6,321,,40,jake,11,339,,36,james,6,286
51,sam,8,393,,40,james,4,347,,36,jonnie,7,307
52,andy,6,395,,40,jonnie,10,375,,36,josh,14,318
52,david,11,429,,40,josh,6,303,,36,sam,14,291
52,jake,6,398,,40,sam,8,321,,36,tom,0,229
52,james,4,416,,41,andy,11,318,,37,andy,2,286
52,jonnie,4,399,,41,david,8,326,,37,david,8,269
52,josh,7,328,,41,ed,11,310,,37,ed,6,311
52,sam,6,399,,41,jack,19,362,,37,jack,11,319
53,andy,12,407,,41,jake,11,350,,37,jake,8,309
53,david,13,442,,41,james,11,358,,37,james,11,297
53,jake,10,408,,41,jonnie,10,385,,37,jonnie,11,318
53,james,13,429,,41,josh,16,319,,37,josh,16,334
53,jonnie,10,409,,41,sam,13,334,,37,sam,6,297
53,josh,0,328,,42,andy,2,320,,37,tom,0,229
53,sam,15,414,,42,david,2,328,,38,andy,11,297
54,andy,4,411,,42,ed,7,317,,38,david,6,275
54,david,8,450,,42,jack,2,364,,38,ed,2,313
54,jake,6,414,,42,jake,4,354,,38,jack,4,323
54,james,8,437,,42,james,7,365,,38,jake,4,313
54,jonnie,6,415,,42,jonnie,7,392,,38,james,6,303
54,josh,4,332,,42,josh,2,321,,38,jonnie,7,325
54,sam,6,420,,42,sam,2,336,,38,josh,7,341
55,andy,14,425,,43,andy,12,332,,38,sam,12,309
55,david,12,462,,43,david,2,330,,38,tom,0,229
55,jake,9,423,,43,ed,2,319,,39,andy,2,299
55,james,19,456,,43,jack,7,371,,39,david,5,280
55,jonnie,17,432,,43,jake,4,358,,39,ed,0,313
55,josh,0,332,,43,james,6,371,,39,jack,5,328
55,sam,15,435,,43,jonnie,2,394,,39,jake,5,318
56,andy,4,429,,43,josh,2,323,,39,james,2,305
56,david,9,471,,43,sam,4,340,,39,jonnie,5,330
56,jake,2,425,,44,andy,6,338,,39,josh,2,343
56,james,4,460,,44,david,8,338,,39,sam,4,313
56,jonnie,8,440,,44,ed,13,332,,40,andy,13,312
56,josh,0,332,,44,jack,8,379,,40,david,10,290
56,sam,0,435,,44,jake,10,368,,40,ed,9,322
57,andy,4,433,,44,james,11,382,,40,jack,9,337
57,david,6,477,,44,jonnie,10,404,,40,jake,9,327
57,jake,2,427,,44,josh,13,336,,40,james,10,315
57,james,9,469,,44,sam,12,352,,40,jonnie,11,341
57,jonnie,6,446,,45,andy,12,350,,40,josh,11,354
57,josh,0,332,,45,david,2,340,,40,sam,14,327
57,sam,6,441,,45,ed,7,339,,41,andy,7,319
,,,,,45,jack,4,383,,41,david,10,300
,,,,,45,jake,7,375,,41,ed,11,333
,,,,,45,james,7,389,,41,jack,6,343
,,,,,45,jonnie,9,413,,41,jake,0,327
,,,,,45,josh,2,338,,41,james,6,321
,,,,,45,sam,4,356,,41,jonnie,10,351
,,,,,46,andy,6,356,,41,josh,6,360
,,,,,46,david,9,349,,41,sam,11,338
,,,,,46,ed,8,347,,42,andy,11,330
,,,,,46,jack,6,389,,42,david,16,316
,,,,,46,jake,4,379,,42,ed,11,344
,,,,,46,james,8,397,,42,jack,6,349
,,,,,46,jonnie,6,419,,42,jake,6,333
